Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,MSFT,MSFT,MSFT,MSFT,MSFT,NVDA,NVDA,NVDA,NVDA,NVDA,NFLX,NFLX,NFLX,NFLX,NFLX,META,META,META,META,META,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-23 13:30:00+00:00,215.0449981689453,215.10000610351562,213.89999389648438,214.51019287109375,4558755,506.5,506.7500915527344,502.25,503.70001220703125,921359,169.52000427246094,170.33999633789062,169.1300048828125,169.97999572753906,13799997,1182.8499755859375,1192.619384765625,1179.010009765625,1190.0,306685,706.364990234375,710.1400146484375,705.8300170898438,707.135009765625,647212,191.47999572753906,192.52999877929688,190.66000366210938,190.97999572753906,4081268
2025-07-23 13:35:00+00:00,214.50999450683594,214.61000061035156,214.10960388183594,214.16000366210938,793703,503.69000244140625,504.6099853515625,503.6300048828125,503.6650085449219,296528,169.9600067138672,170.1199951171875,169.47999572753906,170.0,4130772,1189.449951171875,1190.9998779296875,1183.0799560546875,1186.699951171875,120126,707.489990234375,710.4299926757812,707.489990234375,709.6099853515625,236817,190.97999572753906,191.1699981689453,190.41000366210938,190.47999572753906,833838
2025-07-23 13:40:00+00:00,214.15089416503906,214.3199005126953,213.25999450683594,213.5399932861328,1239591,503.7200012207031,503.9961853027344,503.1600036621094,503.17999267578125,260975,170.0,170.39999389648438,169.4846954345703,169.51499938964844,4202945,1186.5799560546875,1190.279541015625,1183.3399658203125,1184.6700439453125,88572,709.6699829101562,709.869873046875,706.4400024414062,706.4500122070312,201816,190.47999572753906,190.85000610351562,190.07000732421875,190.2895965576172,836509
2025-07-23 13:45:00+00:00,213.1999969482422,213.2198944091797,212.6199951171875,212.64999389648438,1197939,502.5299987792969,502.7049865722656,502.2349853515625,502.6650085449219,334688,169.1840057373047,169.52999877929688,168.78140258789062,169.31480407714844,4098410,1183.969970703125,1187.3900146484375,1180.6339111328125,1185.6500244140625,100722,705.6799926757812,708.5576782226562,704.9299926757812,707.7899780273438,157273,190.16000366210938,190.58999633789062,190.110107421875,190.47000122070312,677634
2025-07-23 13:50:00+00:00,212.64329528808594,213.1199951171875,212.50999450683594,212.87559509277344,973243,502.69000244140625,503.29998779296875,502.3500061035156,502.8995056152344,240102,169.31500244140625,169.50999450683594,168.88499450683594,169.0399932861328,2495848,1185.79345703125,1189.7698974609375,1183.699951171875,1188.5657958984375,56637,707.7849731445312,708.3400268554688,706.5701293945312,707.2000122070312,107960,190.4600067138672,190.50999450683594,189.97000122070312,190.0507049560547,742362
2025-07-23 13:55:00+00:00,212.86000061035156,213.0,212.4199981689453,212.55999755859375,830355,502.8500061035156,503.3699951171875,502.25,503.1600036621094,160457,169.03500366210938,169.19000244140625,168.22999572753906,168.34500122070312,3656315,1187.68505859375,1188.2099609375,1185.5,1185.5050048828125,33904,707.4349975585938,707.4349975585938,705.6900024414062,706.2750244140625,91372,190.0449981689453,190.13999938964844,189.5500030517578,189.87359619140625,810930
2025-07-23 14:00:00+00:00,212.5500030517578,212.9199981689453,212.41000366210938,212.86000061035156,707700,503.0899963378906,503.0899963378906,501.7037048339844,501.7037048339844,404649,168.33999633789062,168.9499969482422,168.16000366210938,168.69000244140625,3084616,1185.656982421875,1186.0050048828125,1181.5,1182.518310546875,73110,706.4550170898438,706.97998046875,705.780029296875,706.7799072265625,71035,189.8800048828125,189.9499969482422,189.25999450683594,189.531005859375,859543
2025-07-23 14:05:00+00:00,212.86000061035156,213.16000366210938,212.72999572753906,212.8699951171875,993356,501.7099914550781,501.8999938964844,501.32000732421875,501.625,348380,168.69500732421875,168.7198944091797,167.97000122070312,168.36000061035156,3437927,1182.0,1182.1400146484375,1177.8199462890625,1178.010009765625,122451,706.5150146484375,708.02001953125,706.2056274414062,707.4400024414062,88511,189.5,190.13949584960938,189.39999389648438,189.9696044921875,629132
2025-07-23 14:10:00+00:00,212.8800048828125,212.97999572753906,212.4550018310547,212.59500122070312,798099,501.625,501.6499938964844,500.70001220703125,500.8999938964844,396042,168.35499572753906,168.61000061035156,168.02000427246094,168.50999450683594,2451291,1178.6500244140625,1180.5,1178.41015625,1178.7218017578125,84915,707.25,707.5700073242188,706.0999755859375,706.3099975585938,83660,189.94000244140625,190.14999389648438,189.63999938964844,189.72999572753906,681026
2025-07-23 14:15:00+00:00,212.61000061035156,213.10000610351562,212.58999633789062,213.0,618615,500.8399963378906,502.25,500.80999755859375,502.25,268126,168.52000427246094,168.99000549316406,168.47000122070312,168.8249969482422,1981342,1178.469970703125,1179.97998046875,1174.1650390625,1176.800048828125,135651,706.3099975585938,708.260009765625,706.3099975585938,707.1500244140625,83526,189.73500061035156,190.47999572753906,189.72000122070312,189.98500061035156,543499
