Ticker,NFLX,NFLX,NFLX,NFLX,NFLX,META,META,META,META,META,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,MSFT,MSFT,MSFT,MSFT,MSFT,NVDA,NVDA,NVDA,NVDA,NVDA,AAPL,AAPL,AAPL,AAPL,AAPL
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-15,545.52001953125,551.219970703125,535.0999755859375,541.9400024414062,5113100,265.9604285478444,267.39160813562887,262.0545148243733,265.0858154296875,15416100,76.69602546749853,78.03181374739641,76.52868444146476,77.24076843261719,31210000,208.16097962773364,211.2867448559503,207.1158489257923,210.61557006835938,22733100,13.768718908966557,13.963125149314527,13.725849552912674,13.927484512329102,267224000,115.48104948176437,117.8933852834975,114.92660067544894,117.41675567626953,112559200
2020-10-16,549.5,554.3300170898438,530.030029296875,530.7899780273438,6347400,265.74178726862857,269.70733112644956,263.6745142904317,264.3006591796875,16622700,77.55658351214443,78.34514345056063,77.34951558739077,77.84807586669922,34194000,211.08538510441647,213.1372706724877,210.2895729758885,210.61557006835938,26057900,13.994032098702894,14.078524355779496,13.750525122871887,13.7694673538208,242392000,117.97120952549623,118.23384747833158,115.56859545500912,115.77286529541016,115393800
2020-10-19,537.0700073242188,541.7999877929688,525.3800048828125,530.719970703125,7567500,263.90307029702865,266.90455554026005,258.2876944702053,259.7983703613281,13587000,78.25675894228921,78.654020527849,75.62441694848839,75.97350311279297,29734000,211.34429656584294,213.14689303076904,204.92016920089208,205.3995819091797,27625800,13.860687006081015,13.940941659706013,13.365947158412617,13.456670761108398,298068000,116.68721586654202,117.1346651236104,112.50453415677372,112.81580352783203,120639300
2020-10-20,528.1400146484375,533.780029296875,522.260009765625,525.4199829101562,10047200,261.44825585427947,268.04758781197927,261.26936597521654,265.9206848144531,18763200,75.63384710979612,78.1529714473702,75.50424022967013,77.02276611328125,41670000,206.91450174044525,208.41984984684413,204.3160787516439,205.8118438720703,22753500,13.54216179692203,13.757754110452392,13.465894667102834,13.603973388671875,229212000,113.0297966240417,115.73395813213436,112.4753478178989,114.30406188964844,124423700
2020-10-21,501.0299987792969,506.8500061035156,488.25,489.04998779296875,17405700,277.84717921242225,281.31578684787894,274.6767213938293,277.02227783203125,28998600,77.95484568131718,80.2038378597319,77.82027576325886,78.75631713867188,60322000,204.34483913835186,207.9883781310668,204.34483913835186,205.95567321777344,22724900,13.583535280397424,13.74952866518979,13.436484126487011,13.483590126037598,219596000,113.48697818121386,115.47132328298426,113.27297908868262,113.68152618408203,89946000
2020-10-22,494.69000244140625,495.1400146484375,482.0,485.2300109863281,6997900,278.15526305374203,280.7194726683102,273.3548692673626,276.4159851074219,16720000,78.70714832278779,80.11841230278098,78.33372441699296,79.78273010253906,30512000,205.12154373584985,207.1638468475484,202.9833668470655,206.04202270507812,22351500,13.481344799645843,13.570322782592395,13.191479184719874,13.32033634185791,290480000,114.24571958756312,114.81962703373966,111.46374567321323,112.59210205078125,101988000
2020-10-23,488.1099853515625,490.05999755859375,481.3500061035156,488.2799987792969,4927900,277.0918148600258,283.49236020552047,275.12396548594063,283.0451354980469,17535200,80.19937044636507,81.14633808704535,80.04344057864893,81.08972930908203,30548000,206.17622518692104,207.37475694038199,204.38322636550816,207.32681274414062,18879600,13.409070513776179,13.551885057926857,13.250804019532389,13.548893928527832,233484000,113.21461859214486,113.37025699470568,111.16218354117096,111.90145111083984,82572600
2020-10-26,487.0299987792969,496.82000732421875,478.8999938964844,488.239990234375,6186100,281.4250587191067,283.48238293592084,272.5795958270147,275.412109375,21322900,80.19686405973417,80.92086672617417,77.85203680351297,78.67188262939453,35826000,205.04482977945148,207.4322958032438,199.53158340310517,201.4300537109375,37111600,13.386136149742837,13.651077294489475,12.998818302417876,13.101255416870117,336896000,110.89955125203169,113.37025519408711,109.80037545983436,111.91117858886719,111850700
2020-10-27,490.010009765625,490.489990234375,482.92999267578125,488.92999267578125,3627200,277.05210735212944,282.7668783431842,274.61710584109073,281.5543518066406,16287200,78.90230306606628,79.5513224818934,78.30939232777347,79.39639282226562,25902000,202.8778441522253,205.83102786735438,201.6697295267006,204.46949768066406,36700300,13.26550635531582,13.401093105478985,13.151354761087697,13.35598087310791,250520000,112.33918213169002,114.08034796929371,111.41510314504899,113.41889953613281,92276800
2020-10-28,486.3599853515625,494.0,483.2799987792969,486.239990234375,5992700,277.0818616666197,277.0818616666197,265.6225072103546,266.0299987792969,23121800,76.96963351424793,77.15832688244774,74.90735737417214,75.0225601196289,45174000,199.119244972221,200.2410687988372,193.77859574821827,194.33470153808594,51195600,13.15783489461272,13.219646485778258,12.570627630856183,12.58857250213623,376520000,111.9111833730848,112.28081345722651,108.06894369566764,108.16621398925781,143937800
2020-10-29,488.5,513.9000244140625,479.3399963378906,504.2099914550781,11120700,274.8555391538247,281.8623613173474,272.102522131915,279.10931396484375,32368100,75.33143128379692,78.8928663291568,75.30809370967367,77.31078338623047,55406000,195.66747987590986,198.8220085768547,194.99629048248485,196.29071044921875,31432600,12.799427953115362,13.152599800168861,12.711197266914722,12.984363555908203,320080000,109.30429841508608,113.73988906858685,109.138930754146,112.17381286621094,146129200
2020-10-30,502.010009765625,505.8800048828125,472.2099914550781,475.739990234375,7807900,272.8181534538649,275.00468630595316,257.51251448104284,261.4979248046875,47247800,82.80091654542893,83.49016299701641,79.52997371419903,80.25199127197266,99878000,195.12098138875402,195.87844706580935,191.40073391687426,194.13339233398438,36953700,12.810893624788754,12.897129593543116,12.262567264637163,12.495855331420898,416820000,108.03002105163316,108.93464877317763,104.78114762621877,105.89004516601562,190272600
2020-11-02,478.8699951171875,486.29998779296875,475.0,484.1199951171875,4408200,262.9787747700464,268.81280382604047,255.7632478277087,259.75860595703125,27165700,80.62095654393035,82.34407276460104,80.15913775613008,80.6596908569336,44228000,195.87841969764497,196.82766203875832,191.88011983803784,193.99913024902344,30842200,12.619229592342585,12.79768475398519,12.357279530009336,12.542464256286621,299652000,106.13323338437135,107.66039994190102,104.39206773628062,105.80250549316406,122866900
2020-11-03,484.92999267578125,495.30999755859375,478.760009765625,487.2200012207031,3690200,261.54759675394826,268.39536528268303,259.2815677486717,263.6744689941406,17961900,80.97947599539556,82.38179892514135,80.05336078632573,81.71936798095703,31432000,195.49488804919505,199.55071493466912,194.75658847838346,197.9302978515625,27512000,12.669824999930903,13.06511799350483,12.564396738004714,12.979878425598145,272900000,106.66825263139127,108.44832081758369,105.76362465230213,107.42697143554688,107624400
2020-11-04,495.3599853515625,507.7300109863281,493.9800109863281,496.95001220703125,5137300,279.2783473231227,287.1697023394127,276.9129244395183,285.6192626953125,35364400,84.69486039848417,87.8952907499738,84.56674619709445,86.69457244873047,71342000,205.20781312721707,209.33076521149155,203.67368665801723,207.480224609375,42311800,13.348502540252872,13.78541936200502,13.296411643005507,13.752269744873047,410228000,111.02599722029115,112.43643491089769,109.28483165401832,111.81389617919922,138235500
